League,Team,Player,Nation,pos_nan_nan,Age,MatchesPlayed,MinutesPlayed,Goals,Assists,Sot%,SoT/90,xG,keyPasses,FinalThirdPasses,PrgP,TklW,Tkl%,BloackPass,Interception
GER-Bundesliga,Werder Bremen,Miloš Veljković,SRB,DF,29-235,14,1029,0,1,50.0,0.09,0.6,3.0,50.0,64.0,5,46.7,5,2.0
GER-Bundesliga,Werder Bremen,Mitchell Weiser,GER,"DF,MF",31-028,32,2868,5,9,34.9,0.47,5.4,42.0,74.0,125.0,40,50.0,30,22.0
GER-Bundesliga,Werder Bremen,Niklas Stark,GER,DF,30-035,26,2106,0,1,25.0,0.13,1.1,1.0,66.0,62.0,21,66.7,14,36.0
GER-Bundesliga,Werder Bremen,Oliver Burke,SCO,FW,28-042,25,908,5,0,34.3,1.19,4.1,14.0,5.0,15.0,4,66.7,20,2.0
GER-Bundesliga,Werder Bremen,Romano Schmid,AUT,MF,25-112,32,2834,5,4,27.7,0.41,4.3,68.0,170.0,279.0,25,47.1,39,11.0
GER-Bundesliga,Werder Bremen,Senne Lynen,BEL,MF,26-089,32,2733,0,1,12.5,0.1,1.1,8.0,81.0,91.0,39,56.5,43,65.0
GER-Bundesliga,Werder Bremen,Skelly Alvero,FRA,MF,23-015,12,236,0,0,0.0,0.0,0.0,0.0,3.0,8.0,6,80.0,4,2.0
GER-Bundesliga,Wolfsburg,Andreas Skov Olsen,DEN,"FW,MF",25-141,12,535,1,1,14.3,0.17,0.8,18.0,12.0,22.0,6,100.0,4,2.0
GER-Bundesliga,Wolfsburg,Bence Dárdai,HUN,MF,19-115,21,1304,1,1,9.1,0.07,1.0,11.0,35.0,39.0,14,53.3,16,12.0
GER-Bundesliga,Wolfsburg,Cedric Zesiger,SUI,DF,26-329,7,522,0,0,50.0,0.17,0.1,1.0,15.0,19.0,8,50.0,1,3.0
GER-Bundesliga,Wolfsburg,David Odogu,GER,DF,18-350,3,195,0,0,0.0,0.0,0.2,0.0,6.0,8.0,4,60.0,0,2.0
GER-Bundesliga,Wolfsburg,Denis Vavro,SVK,DF,29-039,29,2461,2,0,24.0,0.22,1.4,7.0,102.0,96.0,13,47.8,16,37.0
GER-Bundesliga,Wolfsburg,Jakub Kamiński,POL,"DF,MF",22-348,22,1130,0,2,20.0,0.24,0.9,24.0,20.0,40.0,8,40.9,10,13.0
GER-Bundesliga,Wolfsburg,Joakim Mæhle,DEN,DF,27-364,28,2188,3,4,38.9,0.29,2.0,20.0,70.0,88.0,15,37.8,21,25.0
GER-Bundesliga,Wolfsburg,Jonas Wind,DEN,"FW,MF",26-101,31,1966,9,3,28.9,0.5,5.7,34.0,66.0,100.0,6,50.0,14,6.0
GER-Bundesliga,Wolfsburg,Kevin Behrens,GER,FW,34-105,18,170,1,0,33.3,1.59,2.3,2.0,5.0,4.0,1,0.0,0,1.0
GER-Bundesliga,Wolfsburg,Kevin Paredes,USA,DF,22-012,2,123,0,1,0.0,0.0,0.4,2.0,4.0,7.0,1,66.7,0,1.0
GER-Bundesliga,Wolfsburg,Kilian Fischer,GER,DF,24-219,32,2297,1,0,16.7,0.04,0.3,12.0,73.0,110.0,44,52.8,33,19.0
GER-Bundesliga,Wolfsburg,Konstantinos Koulierakis,GRE,DF,21-172,30,2468,0,2,13.6,0.11,1.0,10.0,103.0,104.0,20,62.5,20,33.0
GER-Bundesliga,Wolfsburg,Lovro Majer,CRO,MF,27-122,9,304,2,1,66.7,1.18,1.4,8.0,13.0,17.0,1,20.0,4,1.0
GER-Bundesliga,Wolfsburg,Lukas Nmecha,GER,"FW,MF",26-156,19,467,3,0,45.0,1.73,4.5,3.0,2.0,6.0,0,0.0,3,2.0
GER-Bundesliga,Wolfsburg,Mattias Svanberg,SWE,MF,26-134,20,1219,3,1,33.3,0.52,3.6,13.0,36.0,36.0,10,47.4,7,15.0
GER-Bundesliga,Wolfsburg,Maximilian Arnold,GER,MF,30-357,28,2356,3,5,44.4,0.46,0.9,45.0,132.0,128.0,20,45.5,10,24.0
GER-Bundesliga,Wolfsburg,Mohamed Amoura,ALG,FW,25-010,31,2467,10,9,34.2,0.91,8.7,35.0,29.0,61.0,22,37.8,40,9.0
GER-Bundesliga,Wolfsburg,Patrick Wimmer,AUT,"MF,FW",23-354,29,1770,3,4,24.4,0.51,3.7,24.0,55.0,91.0,35,32.6,27,32.0
GER-Bundesliga,Wolfsburg,Ridle Baku,GER,"FW,MF",27-041,15,1170,2,1,33.3,0.46,1.5,13.0,33.0,44.0,15,42.1,21,15.0
GER-Bundesliga,Wolfsburg,Salih Özcan,TUR,MF,27-128,11,353,0,0,0.0,0.0,0.1,5.0,19.0,22.0,2,20.0,4,7.0
GER-Bundesliga,Wolfsburg,Sebastiaan Bornauw,BEL,DF,26-058,15,788,2,1,37.5,0.34,1.2,1.0,18.0,21.0,6,50.0,2,12.0
GER-Bundesliga,Wolfsburg,Tiago Tomás,POR,"FW,MF",22-337,32,1884,6,1,47.6,0.96,5.4,20.0,33.0,50.0,19,42.9,13,9.0
GER-Bundesliga,Wolfsburg,Yannick Gerhardt,GER,"MF,DF",31-067,29,1518,1,1,26.7,0.24,1.2,4.0,44.0,57.0,16,36.7,24,17.0
ITA-Serie A,Atalanta,Ademola Lookman,NGA,"MF,FW",27-211,30,2202,15,5,40.5,1.31,10.2,60.0,29.0,70.0,15,57.9,18,3.0
ITA-Serie A,Atalanta,Berat Djimsiti,ALB,DF,32-089,33,2550,1,2,20.0,0.14,2.7,11.0,83.0,108.0,31,71.8,13,40.0
ITA-Serie A,Atalanta,Charles De Ketelaere,BEL,"MF,FW",24-070,35,1980,7,7,42.6,0.91,7.2,39.0,79.0,133.0,8,26.7,10,3.0
ITA-Serie A,Atalanta,Davide Zappacosta,ITA,DF,32-342,30,2067,4,2,30.8,0.52,2.2,23.0,60.0,107.0,16,51.3,22,11.0
ITA-Serie A,Atalanta,Giorgio Scalvini,ITA,DF,21-159,6,272,0,0,0.0,0.0,0.1,0.0,14.0,20.0,4,55.6,0,4.0
ITA-Serie A,Atalanta,Ibrahim Sulemana,GHA,MF,21-362,8,226,2,0,50.0,0.8,0.2,1.0,15.0,11.0,4,33.3,1,0.0
ITA-Serie A,Atalanta,Isak Hien,SWE,DF,26-126,30,2327,0,0,25.0,0.08,1.0,2.0,43.0,51.0,28,61.4,13,31.0
ITA-Serie A,Atalanta,Juan Cuadrado,COL,"DF,MF",36-358,22,813,0,2,25.0,0.44,0.9,19.0,32.0,63.0,9,47.8,12,7.0
ITA-Serie A,Atalanta,Lazar Samardzic,SRB,MF,23-084,31,1169,2,1,36.4,0.92,2.0,35.0,60.0,92.0,15,48.0,8,2.0
ITA-Serie A,Atalanta,Marco Brescianini,ITA,MF,25-119,28,937,4,2,42.1,0.77,3.1,6.0,24.0,31.0,11,80.0,13,2.0
ITA-Serie A,Atalanta,Mario Pašalić,CRO,MF,30-099,33,1934,3,4,24.4,0.51,6.6,32.0,130.0,147.0,16,44.0,15,12.0
ITA-Serie A,Atalanta,Marten de Roon,NED,"MF,DF",34-051,36,3058,4,4,28.6,0.12,0.9,25.0,236.0,242.0,48,45.5,33,47.0
ITA-Serie A,Atalanta,Mateo Retegui,ITA,FW,26-020,35,2293,25,7,31.3,1.18,18.6,35.0,27.0,40.0,9,18.8,7,4.0
ITA-Serie A,Atalanta,Matteo Ruggeri,ITA,DF,22-312,29,1661,0,3,66.7,0.11,0.2,24.0,62.0,107.0,24,67.6,25,19.0
ITA-Serie A,Atalanta,Odilon Kossounou,CIV,DF,24-135,17,1035,0,0,66.7,0.35,0.5,1.0,46.0,41.0,9,45.5,9,12.0
ITA-Serie A,Atalanta,Rafael Tolói,ITA,DF,34-221,11,468,0,0,0.0,0.0,0.1,3.0,20.0,26.0,5,36.4,6,8.0
ITA-Serie A,Atalanta,Sead Kolašinac,BIH,DF,31-333,23,1903,0,2,20.0,0.09,0.8,17.0,105.0,142.0,26,53.3,9,25.0
ITA-Serie A,Atalanta,Éderson,BRA,MF,25-316,36,2845,4,1,30.8,0.38,4.1,37.0,190.0,212.0,31,64.7,23,35.0
ITA-Serie A,Bologna,Benjamín Domínguez,ARG,FW,21-242,24,1281,3,2,56.7,1.19,2.2,10.0,12.0,32.0,7,30.0,14,4.0
ITA-Serie A,Bologna,Charalambos Lykogiannis,GRE,DF,31-209,16,974,0,4,40.0,0.18,0.2,18.0,41.0,46.0,12,50.0,4,10.0
ITA-Serie A,Bologna,Dan Ndoye,SUI,FW,24-206,29,2053,8,4,35.4,0.75,6.9,26.0,37.0,73.0,18,56.0,22,8.0
ITA-Serie A,Bologna,Emil Holm,SWE,DF,25-006,20,1092,1,1,30.0,0.25,0.6,9.0,47.0,48.0,21,66.7,15,10.0
ITA-Serie A,Bologna,Giovanni Fabbian,ITA,MF,22-125,29,1013,3,1,23.8,0.44,2.3,8.0,15.0,16.0,6,53.8,5,2.0
ITA-Serie A,Bologna,Jens Odgaard,DEN,"MF,FW",26-049,29,1952,6,1,44.9,1.01,3.6,16.0,34.0,50.0,14,28.6,17,9.0
ITA-Serie A,Bologna,Jhon Lucumí,COL,DF,26-327,31,2524,0,1,16.7,0.07,0.6,9.0,105.0,101.0,29,70.0,18,25.0
ITA-Serie A,Bologna,Juan Miranda,ESP,DF,25-120,31,2277,0,6,22.7,0.2,0.7,57.0,156.0,163.0,18,42.4,18,23.0
ITA-Serie A,Bologna,Lewis Ferguson,SCO,MF,25-268,15,893,1,1,25.0,0.1,0.9,11.0,56.0,47.0,12,53.8,7,5.0
ITA-Serie A,Bologna,Lorenzo De Silvestri,ITA,DF,36-361,17,1015,1,0,37.5,0.27,0.7,5.0,39.0,46.0,6,43.8,8,10.0
ITA-Serie A,Bologna,Martin Erlic,CRO,DF,27-115,8,334,0,0,0.0,0.0,0.2,0.0,12.0,11.0,0,50.0,1,2.0
ITA-Serie A,Bologna,Michel Aebischer,SUI,MF,28-133,13,679,0,0,44.4,0.53,0.4,7.0,40.0,29.0,12,69.2,3,6.0
ITA-Serie A,Bologna,Nicolò Cambiaghi,ITA,FW,24-142,17,585,1,3,25.0,0.46,0.7,11.0,9.0,24.0,10,50.0,9,2.0
ITA-Serie A,Bologna,Nikola Moro,CRO,MF,27-068,22,1208,0,2,14.3,0.15,0.5,20.0,98.0,93.0,27,66.7,11,13.0
ITA-Serie A,Bologna,Remo Freuler,SUI,MF,33-034,36,3124,1,2,23.5,0.12,1.3,34.0,197.0,202.0,40,42.3,33,39.0
ITA-Serie A,Bologna,Riccardo Orsolini,ITA,FW,28-115,29,1788,14,4,35.3,1.21,9.9,29.0,32.0,65.0,12,40.0,25,8.0
ITA-Serie A,Bologna,Sam Beukema,NED,DF,26-183,35,3012,0,1,26.7,0.12,1.5,10.0,169.0,153.0,29,53.7,15,30.0
ITA-Serie A,Bologna,Samuel Iling-Junior,ENG,"FW,MF",21-227,7,118,1,0,25.0,0.76,0.1,1.0,4.0,7.0,2,0.0,1,2.0
ITA-Serie A,Bologna,Santiago Castro,ARG,FW,20-232,35,2239,8,4,32.3,0.8,7.7,28.0,23.0,38.0,10,35.3,11,3.0
ITA-Serie A,Bologna,Stefan Posch,AUT,DF,28-005,14,714,0,0,0.0,0.0,0.3,10.0,40.0,36.0,15,60.0,15,5.0
ITA-Serie A,Bologna,Thijs Dallinga,NED,FW,24-289,31,1154,3,2,35.5,0.86,4.3,12.0,14.0,17.0,5,100.0,9,1.0
ITA-Serie A,Bologna,Tommaso Pobega,ITA,MF,25-308,20,1133,2,2,36.4,0.64,2.0,12.0,47.0,37.0,19,72.4,11,13.0
ITA-Serie A,Cagliari,Adam Obert,SVK,DF,22-269,20,1060,1,1,22.2,0.17,0.9,10.0,36.0,50.0,17,57.7,12,23.0
ITA-Serie A,Cagliari,Alessandro Deiola,ITA,MF,29-291,28,1342,2,1,23.5,0.27,1.7,5.0,44.0,39.0,19,32.3,14,13.0
ITA-Serie A,Cagliari,Antoine Makoumbou,CGO,MF,26-305,32,2094,0,3,0.0,0.0,0.3,8.0,69.0,89.0,23,76.0,21,15.0
ITA-Serie A,Cagliari,Florinel Coman,ROU,"FW,MF",27-039,9,263,1,0,25.0,0.34,0.2,1.0,4.0,5.0,3,100.0,2,1.0
ITA-Serie A,Cagliari,Gabriele Zappa,ITA,DF,25-148,36,2970,2,0,45.5,0.15,0.9,28.0,124.0,142.0,22,53.1,20,23.0
ITA-Serie A,Cagliari,Gianluca Gaetano,ITA,"MF,FW",25-014,28,1009,2,4,20.0,0.54,4.9,22.0,27.0,41.0,8,33.3,8,6.0
ITA-Serie A,Cagliari,Gianluca Lapadula,PER,"FW,MF",35-101,12,310,0,0,20.0,0.87,1.4,3.0,3.0,7.0,0,0.0,0,0.0
ITA-Serie A,Cagliari,José Luis Palomino,ARG,DF,35-134,17,1047,1,0,50.0,0.09,0.5,1.0,30.0,35.0,15,75.0,10,22.0
ITA-Serie A,Cagliari,Mateusz Wieteska,POL,DF,28-097,5,184,0,0,0.0,0.0,0.2,1.0,3.0,5.0,0,100.0,1,7.0
ITA-Serie A,Cagliari,Matteo Prati,ITA,MF,21-142,12,570,0,0,0.0,0.0,0.1,6.0,20.0,23.0,4,27.3,3,7.0
ITA-Serie A,Cagliari,Mattia Felici,ITA,"MF,FW",24-032,20,925,0,3,60.0,0.58,0.6,10.0,12.0,19.0,12,36.4,10,7.0
ITA-Serie A,Cagliari,Michel Ndary Adopo,FRA,MF,24-304,34,2319,1,1,20.0,0.16,1.1,19.0,88.0,103.0,32,50.0,15,27.0
ITA-Serie A,Cagliari,Nadir Zortea,ITA,"DF,MF",25-334,34,2657,6,2,31.3,0.34,3.0,28.0,42.0,62.0,14,38.9,10,18.0
ITA-Serie A,Cagliari,Nicolas Viola,ITA,"FW,MF",35-219,26,1211,3,1,29.0,0.67,2.2,28.0,34.0,46.0,7,10.0,4,3.0
ITA-Serie A,Cagliari,Paulo Azzi,BRA,DF,30-308,6,426,0,0,37.5,0.63,0.5,5.0,7.0,13.0,9,55.6,3,5.0
ITA-Serie A,Cagliari,Roberto Piccoli,ITA,FW,24-112,36,3037,10,1,28.9,0.83,12.8,13.0,31.0,35.0,9,25.0,8,3.0
ITA-Serie A,Cagliari,Răzvan Marin,ROU,MF,28-361,32,1372,3,2,40.0,0.52,2.4,33.0,54.0,80.0,13,52.0,6,2.0
ITA-Serie A,Cagliari,Sebastiano Luperto,ITA,DF,28-255,35,3150,1,3,23.8,0.14,2.1,8.0,86.0,94.0,25,63.0,14,33.0
ITA-Serie A,Cagliari,Tommaso Augello,ITA,DF,30-262,37,2640,0,7,0.0,0.0,0.3,39.0,78.0,117.0,28,71.4,15,16.0
ITA-Serie A,Cagliari,Yerry Mina,COL,DF,30-238,30,2479,1,0,32.0,0.29,2.3,4.0,62.0,75.0,29,78.0,24,36.0
ITA-Serie A,Cagliari,Zito Luvumbo,ANG,"FW,MF",23-071,26,1606,2,2,17.4,0.22,2.1,17.0,16.0,31.0,6,31.6,5,4.0
ITA-Serie A,Como,Alberto Dossena,ITA,DF,26-218,23,1825,0,2,25.0,0.15,0.8,5.0,33.0,36.0,20,57.1,11,22.0
ITA-Serie A,Como,Alberto Moreno,ESP,DF,32-318,24,1727,0,0,42.9,0.31,0.4,19.0,63.0,81.0,11,46.2,9,14.0
ITA-Serie A,Como,Alessandro Gabrielloni,ITA,"FW,MF",30-313,15,142,1,1,40.0,1.27,0.3,4.0,3.0,6.0,0,0.0,0,0.0
ITA-Serie A,Como,Alessio Iovine,ITA,"DF,FW",34-107,9,377,0,0,0.0,0.0,0.0,3.0,6.0,6.0,2,40.0,6,3.0
ITA-Serie A,Como,Alieu Fadera,GAM,"FW,DF",23-197,28,1644,1,3,32.1,0.49,1.7,23.0,14.0,36.0,47,44.4,17,12.0
ITA-Serie A,Como,Anastasios Douvikas,GRE,FW,25-290,12,528,2,2,30.8,0.68,2.5,8.0,5.0,5.0,2,33.3,3,1.0
ITA-Serie A,Como,Andrea Belotti,ITA,FW,31-150,18,593,2,0,15.8,0.46,2.5,7.0,5.0,9.0,5,25.0,4,1.0
ITA-Serie A,Como,Assane Diao,SEN,"FW,MF",19-254,15,1252,8,1,46.4,0.93,4.0,8.0,13.0,36.0,14,42.9,7,3.0
ITA-Serie A,Como,Ben Lhassine Kone,CIV,MF,25-066,4,51,0,0,0.0,0.0,0.0,0.0,3.0,3.0,2,66.7,0,1.0
ITA-Serie A,Como,Edoardo Goldaniga,ITA,DF,31-198,32,2532,1,0,38.5,0.18,2.5,5.0,80.0,82.0,21,72.2,11,32.0
ITA-Serie A,Como,Federico Barba,ITA,DF,31-260,7,431,0,0,50.0,0.21,0.2,0.0,18.0,25.0,2,25.0,0,4.0
ITA-Serie A,Como,Gabriel Strefezza,BRA,"FW,MF",28-031,36,2529,6,4,37.5,0.75,3.7,54.0,65.0,102.0,39,38.9,22,13.0
ITA-Serie A,Como,Ignace Van Der Brempt,BEL,DF,23-048,19,1177,0,1,33.3,0.15,0.4,9.0,25.0,38.0,31,71.9,7,16.0
ITA-Serie A,Como,Ivan Smolčić,CRO,DF,24-275,8,540,0,0,40.0,0.33,0.1,1.0,17.0,23.0,9,75.0,6,10.0
ITA-Serie A,Como,Luca Mazzitelli,ITA,MF,29-185,11,335,1,1,42.9,0.81,0.2,6.0,21.0,27.0,6,71.4,3,3.0
ITA-Serie A,Como,Lucas Da Cunha,FRA,MF,23-344,35,2523,3,2,40.0,0.5,2.0,55.0,134.0,144.0,21,52.9,14,16.0
ITA-Serie A,Como,Marc-Oliver Kempf,GER,DF,30-111,31,2615,0,0,20.0,0.14,1.6,10.0,116.0,84.0,20,54.2,9,33.0
ITA-Serie A,Como,Matthias Braunöder,AUT,MF,23-053,8,268,0,0,0.0,0.0,0.1,0.0,13.0,18.0,4,63.6,3,2.0
ITA-Serie A,Como,Maxence Caqueret,FRA,MF,25-093,17,1043,2,3,37.5,0.26,0.8,19.0,66.0,73.0,19,51.4,14,6.0
ITA-Serie A,Como,Máximo Perrone,ARG,MF,22-132,25,1805,0,3,20.0,0.1,0.9,29.0,94.0,95.0,27,32.4,13,20.0
ITA-Serie A,Como,Nicolás Paz,ARG,"MF,FW",20-253,34,2607,6,8,35.2,1.28,9.0,51.0,110.0,156.0,33,48.0,45,20.0
ITA-Serie A,Como,Patrick Cutrone,ITA,FW,27-136,32,2009,7,4,39.1,1.12,6.8,19.0,16.0,31.0,11,50.0,11,5.0
ITA-Serie A,Como,Sergi Roberto,ESP,MF,33-101,13,696,0,1,16.7,0.13,0.7,15.0,28.0,36.0,8,71.4,6,9.0
ITA-Serie A,Como,Simone Verdi,ITA,"MF,FW",32-311,9,115,0,0,100.0,1.57,0.1,6.0,2.0,5.0,2,0.0,2,0.0
ITA-Serie A,Como,Yannik Engelhardt,GER,"MF,DF",24-101,25,1126,1,1,25.0,0.16,0.6,12.0,39.0,54.0,11,57.7,7,11.0
ITA-Serie A,Como,Álex Valle,ESP,DF,21-024,14,940,0,0,11.1,0.1,0.3,11.0,42.0,36.0,12,73.7,10,7.0
ITA-Serie A,Empoli,Alberto Grassi,ITA,MF,30-073,27,2113,1,0,36.4,0.17,1.0,7.0,58.0,67.0,21,66.7,10,32.0
ITA-Serie A,Empoli,Ardian Ismajli,ALB,DF,28-231,28,2418,0,0,0.0,0.0,0.3,2.0,12.0,36.0,22,82.4,10,55.0
ITA-Serie A,Empoli,Emmanuel Ekong,SWE,"MF,FW",22-328,15,186,0,0,25.0,0.48,0.1,2.0,2.0,5.0,3,100.0,1,1.0
ITA-Serie A,Empoli,Emmanuel Gyasi,GHA,"DF,FW",31-128,36,3144,2,1,36.4,0.23,3.9,16.0,44.0,52.0,29,63.2,17,11.0
ITA-Serie A,Empoli,Faustino Anjorin,ENG,MF,23-177,21,1083,2,3,27.3,0.5,0.9,17.0,41.0,53.0,12,50.0,15,12.0
ITA-Serie A,Empoli,Giuseppe Pezzella,ITA,"DF,FW",27-171,34,2788,0,3,21.4,0.1,0.6,35.0,55.0,78.0,30,50.0,23,15.0
ITA-Serie A,Empoli,Ismael Konate,CIV,"FW,MF",19-051,11,107,0,1,66.7,1.68,0.2,2.0,2.0,2.0,2,66.7,1,0.0
ITA-Serie A,Empoli,Jacopo Fazzini,ITA,MF,22-064,19,1293,3,1,33.3,0.49,2.5,11.0,25.0,45.0,19,56.5,12,6.0
ITA-Serie A,Empoli,Junior Sambia,FRA,"DF,FW",28-254,16,378,0,0,11.1,0.24,0.4,6.0,13.0,21.0,9,100.0,3,2.0
ITA-Serie A,Empoli,Liam Henderson,SCO,MF,29-024,35,2278,0,4,10.0,0.08,0.6,32.0,90.0,106.0,21,41.2,14,15.0
ITA-Serie A,Empoli,Liberato Cacace,NZL,"DF,MF",24-234,32,2171,2,4,31.0,0.37,2.6,25.0,52.0,68.0,25,71.0,17,22.0
ITA-Serie A,Empoli,Lorenzo Colombo,ITA,"FW,MF",23-072,36,2202,6,2,33.3,0.74,5.9,21.0,25.0,48.0,14,33.3,31,2.0
ITA-Serie A,Empoli,Luca Marianucci,ITA,DF,20-300,18,1069,0,0,25.0,0.17,0.6,3.0,29.0,28.0,12,57.9,8,19.0
ITA-Serie A,Empoli,Mattia De Sciglio,ITA,DF,32-211,16,769,1,0,60.0,0.35,0.6,3.0,12.0,18.0,13,82.4,7,8.0
ITA-Serie A,Empoli,Mattia Viti,ITA,DF,23-115,29,2482,1,0,18.2,0.07,0.8,3.0,68.0,81.0,45,66.7,22,48.0
ITA-Serie A,Empoli,Nicolas Haas,SUI,MF,29-116,10,287,0,0,0.0,0.0,0.0,2.0,5.0,9.0,8,55.6,1,4.0
ITA-Serie A,Empoli,Ola Solbakken,NOR,"MF,FW",26-254,20,743,0,0,75.0,0.36,0.8,9.0,13.0,19.0,4,50.0,0,2.0
ITA-Serie A,Empoli,Pietro Pellegri,ITA,FW,24-063,11,414,3,0,50.0,0.87,0.3,7.0,3.0,8.0,2,50.0,2,0.0
ITA-Serie A,Empoli,Saba Goglichidze,GEO,DF,20-328,32,2458,0,1,0.0,0.0,0.3,3.0,44.0,41.0,37,50.0,19,33.0
ITA-Serie A,Empoli,Sebastiano Esposito,ITA,"FW,MF",22-321,32,2250,8,0,32.1,0.72,5.6,36.0,56.0,90.0,29,51.4,18,12.0
ITA-Serie A,Empoli,Szymon Żurkowski,POL,MF,27-236,5,106,0,0,0.0,0.0,0.1,0.0,0.0,1.0,4,100.0,3,1.0
ITA-Serie A,Empoli,Thomas Campaniello,ITA,FW,17-079,3,25,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,0,0.0
ITA-Serie A,Empoli,Viktor Kovalenko,UKR,MF,29-094,6,77,0,0,33.3,1.17,0.1,0.0,4.0,4.0,1,0.0,0,0.0
ITA-Serie A,Empoli,Youssef Maleh,MAR,MF,26-270,22,1510,0,1,17.6,0.18,0.9,12.0,62.0,72.0,23,50.0,19,16.0
ITA-Serie A,Fiorentina,Albert Guðmundsson,ISL,"FW,MF",27-338,23,1253,6,1,47.8,0.79,4.1,13.0,34.0,37.0,5,41.2,5,6.0
ITA-Serie A,Fiorentina,Amir Richardson,MAR,MF,23-115,26,1029,1,0,50.0,0.44,0.8,7.0,43.0,45.0,11,45.0,11,5.0
ITA-Serie A,Fiorentina,Andrea Colpani,ITA,"FW,MF",26-008,25,1450,2,1,33.3,0.74,2.7,17.0,19.0,57.0,9,33.3,7,9.0
ITA-Serie A,Fiorentina,Antonín Barák,CZE,MF,30-167,1,54,0,0,100.0,3.33,0.1,3.0,1.0,2.0,0,0.0,0,0.0
ITA-Serie A,Fiorentina,Cher Ndour,ITA,"MF,DF",20-296,8,400,0,0,0.0,0.0,0.1,1.0,13.0,16.0,1,20.0,4,2.0
ITA-Serie A,Fiorentina,Christian Kouamé,CIV,"FW,MF",27-164,18,622,0,1,9.1,0.14,1.1,9.0,10.0,16.0,8,0.0,2,2.0
ITA-Serie A,Fiorentina,Danilo Cataldi,ITA,MF,30-286,25,1728,3,0,38.5,0.26,1.1,15.0,83.0,90.0,16,51.9,9,22.0
ITA-Serie A,Fiorentina,Dodô,BRA,DF,26-183,34,3025,0,5,20.0,0.15,1.2,36.0,79.0,126.0,30,52.1,17,35.0
ITA-Serie A,Fiorentina,Edoardo Bove,ITA,"MF,FW",23-003,12,851,1,2,28.6,0.21,0.6,11.0,18.0,37.0,17,50.0,12,6.0
ITA-Serie A,Fiorentina,Fabiano Parisi,ITA,"DF,MF",24-191,26,1124,2,0,55.6,0.4,0.5,4.0,27.0,40.0,17,57.1,12,17.0
ITA-Serie A,Fiorentina,Jonathan Ikone,FRA,"FW,MF",27-017,14,334,0,0,55.6,1.35,0.8,2.0,7.0,13.0,2,50.0,3,1.0
ITA-Serie A,Fiorentina,Luca Ranieri,ITA,DF,26-026,35,2981,1,3,45.5,0.15,1.1,14.0,77.0,75.0,22,81.8,14,28.0
ITA-Serie A,Fiorentina,Lucas Beltrán,ARG,"FW,MF",24-051,32,1869,5,4,25.0,0.29,5.3,29.0,38.0,62.0,10,31.6,13,5.0
ITA-Serie A,Fiorentina,Lucas Martínez Quarta,ARG,DF,29-009,8,351,1,0,33.3,0.26,0.7,1.0,15.0,14.0,7,61.5,3,3.0
ITA-Serie A,Fiorentina,Marin Pongračić,CRO,DF,27-250,19,1355,0,0,50.0,0.07,0.2,5.0,42.0,34.0,13,63.6,8,12.0
ITA-Serie A,Fiorentina,Michael Kayode,ITA,"DF,FW",20-313,5,127,0,0,0.0,0.0,0.1,1.0,4.0,8.0,10,69.2,3,5.0
ITA-Serie A,Fiorentina,Moise Kean,ITA,FW,25-080,31,2614,18,3,47.4,1.55,18.0,18.0,13.0,24.0,5,75.0,12,6.0
ITA-Serie A,Fiorentina,Nicolò Zaniolo,ITA,FW,25-321,9,343,0,0,44.4,1.05,0.7,5.0,4.0,5.0,1,0.0,1,0.0
ITA-Serie A,Fiorentina,Pietro Comuzzo,ITA,DF,20-088,32,2122,0,0,25.0,0.04,0.4,6.0,65.0,71.0,21,78.6,13,28.0
ITA-Serie A,Fiorentina,Robin Gosens,GER,DF,30-318,31,2431,5,4,36.4,0.3,1.7,25.0,67.0,101.0,32,58.1,21,18.0
ITA-Serie A,Fiorentina,Rolando Mandragora,ITA,MF,27-324,28,1841,4,3,33.3,0.54,2.5,27.0,69.0,86.0,11,44.8,15,16.0
ITA-Serie A,Fiorentina,Yacine Adli,FRA,MF,24-294,26,1234,4,6,35.7,0.36,1.0,23.0,84.0,103.0,19,43.6,12,6.0
ITA-Serie A,Genoa,Aarón Martín,ESP,DF,28-027,35,2995,0,7,25.0,0.12,0.9,64.0,76.0,88.0,46,64.0,22,19.0
ITA-Serie A,Genoa,Alan Matturro,URU,DF,20-220,13,900,0,0,75.0,0.3,0.2,3.0,10.0,15.0,6,21.4,7,14.0
ITA-Serie A,Genoa,Alessandro Zanoli,ITA,"FW,DF",24-228,31,1711,1,0,27.3,0.16,0.4,19.0,10.0,27.0,20,43.5,17,12.0
ITA-Serie A,Genoa,Andrea Pinamonti,ITA,FW,26-000,36,2850,10,1,37.2,0.92,7.7,15.0,24.0,46.0,6,25.0,12,1.0
ITA-Serie A,Genoa,Brooke Norton-Cuffy,ENG,"DF,FW",21-127,13,638,0,0,40.0,0.28,0.3,2.0,10.0,18.0,7,90.0,9,3.0
ITA-Serie A,Genoa,Caleb Ekuban,GHA,FW,31-057,17,527,1,3,33.3,1.02,2.8,8.0,6.0,8.0,3,100.0,3,1.0
ITA-Serie A,Genoa,Emil Bohinen,NOR,MF,26-068,3,166,0,0,0.0,0.0,0.1,3.0,1.0,5.0,4,40.0,2,1.0
ITA-Serie A,Genoa,Fabio Miretti,ITA,"MF,FW",21-289,25,1677,3,3,25.0,0.32,3.1,22.0,24.0,54.0,15,54.5,19,7.0
