League,Team,Player,Nation,Age,MatchesPlayed,MinutesPlayed,GoalAgainstPer90,Saves,Save%,CleanSheet,CleanSheet%,Season
GER-Bundesliga,Dortmund,Gregor Kobel,SUI,27-164,32,2880,1.47,82,66.7,7,21.9,2425
FRA-Ligue 1,Brest,Grégoire Coudert,FRA,26-046,2,180,2.5,9,61.5,0,0.0,2425
ENG-Premier League,Tottenham,Guglielmo Vicario,ITA,28-224,23,2070,1.43,63,64.9,4,17.4,2425
FRA-Ligue 1,Toulouse,Guillaume Restes,FRA,20-069,29,2543,1.27,58,62.0,8,27.6,2425
FRA-Ligue 1,Lens,Hervé Koffi,BFA,28-215,5,450,1.6,18,76.9,0,0.0,2425
ENG-Premier League,Brentford,Hákon Rafn Valdimarsson,ISL,23-218,2,145,1.24,3,50.0,1,100.0,2425
ITA-Serie A,Venezia,Ionuț Radu,ROU,27-356,14,1260,1.07,45,78.3,4,28.6,2425
ITA-Serie A,Lazio,Ivan Provedel,ITA,31-063,29,2610,1.45,52,58.7,5,17.2,2425
ESP-La Liga,Celta Vigo,Iván Villar,ESP,27-314,4,360,2.25,10,50.0,0,0.0,2425
ESP-La Liga,Barcelona,Iñaki Peña,ESP,26-078,15,1306,1.24,34,69.2,3,21.4,2425
ITA-Serie A,Empoli,Jacopo Seghetti,ITA,20-091,1,90,3.0,3,50.0,0,0.0,2425
ENG-Premier League,Leicester City,Jakub Stolarczyk,POL,24-151,9,810,1.56,23,62.2,2,22.2,2425
ESP-La Liga,Atlético Madrid,Jan Oblak,SVN,32-132,36,3240,0.83,86,78.1,15,41.7,2425
ENG-Premier League,Brighton,Jason Steele,ENG,34-274,2,180,0.5,3,75.0,1,50.0,2425
ESP-La Liga,Las Palmas,Jasper Cillessen,NED,36-027,27,2335,1.62,85,70.3,3,11.1,2425
ITA-Serie A,Como,Jean Butez,FRA,29-345,18,1620,1.06,46,73.8,5,27.8,2425
ITA-Serie A,Venezia,Jesse Joronen,FIN,32-059,8,703,1.92,27,70.0,2,28.6,2425
ESP-La Liga,Alavés,Jesús Owono,EQG,24-079,6,487,1.29,7,57.1,0,0.0,2425
ESP-La Liga,Espanyol,Joan García,ESP,24-015,37,3330,1.38,136,75.0,7,18.9,2425
ENG-Premier League,Southampton,Joe Lumley,ENG,30-093,3,270,2.33,13,65.0,0,0.0,2425
GER-Bundesliga,Gladbach,Jonas Omlin,SUI,31-129,12,978,2.39,45,66.7,1,9.1,2425
GER-Bundesliga,Bayern Munich,Jonas Urbig,GER,21-284,8,720,1.5,16,57.1,2,25.0,2425
ENG-Premier League,Everton,Jordan Pickford,ENG,31-073,37,3330,1.19,111,72.0,11,29.7,2425
ITA-Serie A,Inter,Josep Martinez,ESP,26-357,5,450,0.6,11,78.6,3,60.0,2425
ENG-Premier League,Wolves,José Sá,POR,32-122,28,2520,1.68,63,61.8,7,25.0,2425
ESP-La Liga,Atlético Madrid,Juan Musso,ARG,31-013,1,90,0.0,1,100.0,1,100.0,2425
ITA-Serie A,Atalanta,Juan Musso,ARG,31-013,1,90,0.0,4,100.0,1,100.0,2425
ESP-La Liga,Leganés,Juan Soriano,ESP,27-269,6,540,1.17,19,72.0,1,16.7,2425
ESP-La Liga,Athletic Club,Julen Agirrezabala,ESP,24-144,14,1206,0.67,24,76.5,5,35.7,2425
GER-Bundesliga,Wolfsburg,Kamil Grabara,POL,26-131,29,2585,1.71,88,65.7,5,17.2,2425
ESP-La Liga,Valladolid,Karl Jakob Hein,EST,23-036,30,2700,2.17,93,61.1,5,16.7,2425
FRA-Ligue 1,Strasbourg,Karl-Johan Johnsson,SWE,35-111,3,270,2.0,16,77.3,0,0.0,2425
GER-Bundesliga,Eint Frankfurt,Kauã Santos,BRA,22-038,9,765,1.41,35,76.1,3,37.5,2425
ENG-Premier League,Bournemouth,Kepa Arrizabalaga,ESP,30-228,29,2610,1.24,93,75.2,7,24.1,2425
GER-Bundesliga,Heidenheim,Kevin Müller,GER,34-065,33,2939,1.96,105,65.7,7,21.2,2425
GER-Bundesliga,Eint Frankfurt,Kevin Trapp,GER,34-315,26,2295,1.33,82,70.9,6,23.1,2425
FRA-Ligue 1,Toulouse,Kjetil Haug,NOR,26-341,6,498,1.27,9,56.3,1,20.0,2425
ESP-La Liga,Girona,Krapyvtsov Vladyslav,UKR,19-328,1,90,3.0,4,71.4,0,0.0,2425
GER-Bundesliga,Mainz 05,Lasse Rieß,GER,23-296,2,180,1.0,6,75.0,0,0.0,2425
ITA-Serie A,Parma,Leandro Chichizola,ARG,35-053,1,90,3.0,3,50.0,0,0.0,2425
ESP-La Liga,Mallorca,Leo Román,ESP,24-317,7,630,1.43,39,81.6,2,28.6,2425
ITA-Serie A,Hellas Verona,Lorenzo Montipò,ITA,29-088,36,3240,1.78,97,61.5,8,22.2,2425
GER-Bundesliga,Hoffenheim,Luca Philipp,GER,24-172,6,540,2.5,21,60.0,0,0.0,2425
FRA-Ligue 1,Lille,Lucas Chevalier,FRA,23-194,34,3060,1.06,91,74.6,11,32.4,2425
FRA-Ligue 1,Lyon,Lucas Perri,BRA,27-160,33,2970,1.33,116,74.4,10,30.3,2425
ESP-La Liga,Villarreal,Luiz Lúcio Reis Júnior,BRA,24-125,17,1458,1.11,48,78.8,5,31.3,2425
GER-Bundesliga,Leverkusen,Lukáš Hrádecký,FIN,35-176,29,2610,1.31,83,71.2,6,20.7,2425
GER-Bundesliga,RB Leipzig,Maarten Vandevoordt,BEL,23-082,6,429,1.89,12,57.1,0,0.0,2425
ENG-Premier League,Leicester City,Mads Hermansen,DEN,24-312,27,2385,2.19,99,64.5,1,3.7,2425
ITA-Serie A,Udinese,Maduka Okoye,NGA,25-264,24,2160,1.54,65,66.7,4,16.7,2425
GER-Bundesliga,Bayern Munich,Manuel Neuer,GER,39-053,22,1980,0.68,30,68.9,13,59.1,2425
ESP-La Liga,Barcelona,Marc-André ter Stegen,GER,33-019,8,674,1.2,13,63.6,1,12.5,2425
FRA-Ligue 1,Nice,Marcin Bułka,POL,25-227,34,3060,1.21,120,75.8,8,23.5,2425
FRA-Ligue 1,Brest,Marco Bizot,NED,34-070,32,2880,1.69,74,64.1,10,31.3,2425
ITA-Serie A,Atalanta,Marco Carnesecchi,ITA,24-322,33,2970,0.94,90,75.6,13,39.4,2425
ITA-Serie A,Empoli,Marco Silvestri,ITA,34-078,5,450,2.2,17,59.3,0,0.0,2425
ITA-Serie A,Milan,Marco Sportiello,ITA,33-009,2,126,1.43,4,66.7,1,100.0,2425
GER-Bundesliga,Wolfsburg,Marius Müller,GER,31-311,6,475,0.95,18,78.3,1,20.0,2425
ENG-Premier League,Brentford,Mark Flekken,NED,31-340,36,3185,1.53,145,73.1,7,19.4,2425
ENG-Premier League,Bournemouth,Mark Travers,IRL,26-001,5,450,1.0,20,80.0,1,20.0,2425
ESP-La Liga,Leganés,Marko Dmitrović,SRB,33-115,31,2790,1.58,101,71.6,9,29.0,2425
ENG-Premier League,Newcastle Utd,Martin Dúbravka,SVK,36-124,10,900,1.2,29,70.7,5,50.0,2425
GER-Bundesliga,Leverkusen,Matej Kovar,CZE,25-002,5,450,1.0,12,68.8,3,60.0,2425
FRA-Ligue 1,Lens,Mathew Ryan,AUS,33-041,14,1260,1.21,44,75.8,6,42.9,2425
FRA-Ligue 1,Le Havre,Mathieu Gorgelin,FRA,34-287,16,1440,2.06,50,63.4,1,6.3,2425
ITA-Serie A,Juventus,Mattia Perin,ITA,32-190,5,450,0.6,13,81.3,3,60.0,2425
FRA-Ligue 1,Paris S-G,Matvei Safonov,RUS,26-083,10,879,0.92,17,72.0,3,33.3,2425
ENG-Premier League,Nott'ham Forest,Matz Sels,BEL,33-082,37,3330,1.22,118,74.2,13,35.1,2425
FRA-Ligue 1,Angers,Melvin Zinga,FRA,23-064,1,90,2.0,2,75.0,0,0.0,2425
GER-Bundesliga,Werder Bremen,Michael Zetterer,GER,29-311,34,3060,1.68,102,65.4,10,29.4,2425
ITA-Serie A,Juventus,Michele Di Gregorio,ITA,27-296,32,2880,0.94,68,74.5,14,43.8,2425
ITA-Serie A,Milan,Mike Maignan,FRA,29-320,36,3204,1.15,95,70.1,11,30.6,2425
ITA-Serie A,Roma,Mile Svilar,SRB,25-265,37,3330,0.95,113,78.9,15,40.5,2425
GER-Bundesliga,Gladbach,Moritz Nicolas,GER,27-210,19,1639,1.37,69,78.3,4,21.1,2425
GER-Bundesliga,Augsburg,Nediljko Labrović,CRO,25-221,15,1350,2.13,42,60.8,2,13.3,2425
ENG-Premier League,Bournemouth,Neto,BRA,35-304,2,180,1.0,11,84.6,0,0.0,2425
ENG-Premier League,Newcastle Utd,Nick Pope,ENG,33-030,27,2430,1.26,81,71.1,8,29.6,2425
ITA-Serie A,Genoa,Nicola Leali,ITA,32-091,29,2610,1.07,82,74.8,10,34.5,2425
GER-Bundesliga,St. Pauli,Nikola Vasilj,BIH,29-168,33,2969,1.18,93,71.9,9,27.3,2425
GER-Bundesliga,Freiburg,Noah Atubolu,GER,22-359,26,2307,1.44,81,69.2,10,38.5,2425
GER-Bundesliga,Hoffenheim,Oliver Baumann,GER,34-351,28,2520,1.89,84,63.0,4,14.3,2425
GER-Bundesliga,Bochum,Patrick Drewes,GER,32-104,21,1890,2.19,51,56.6,2,9.5,2425
FRA-Ligue 1,Nantes,Patrik Carlgren,SWE,33-131,5,417,1.51,21,75.0,1,25.0,2425
ESP-La Liga,Girona,Paulo Gazzaniga,ARG,33-137,36,3195,1.44,90,65.7,8,22.2,2425
ITA-Serie A,Como,Pepe Reina,ESP,42-261,11,990,1.18,25,68.4,2,18.2,2425
FRA-Ligue 1,Monaco,Philipp Köhn,SUI,27-047,19,1710,1.0,44,71.4,8,42.1,2425
ITA-Serie A,Genoa,Pierluigi Gollini,ITA,30-062,7,630,2.14,16,62.5,1,14.3,2425
ITA-Serie A,Fiorentina,Pietro Terracciano,ITA,35-072,3,270,1.0,10,76.9,1,33.3,2425
GER-Bundesliga,RB Leipzig,Péter Gulácsi,HUN,35-013,30,2631,1.33,97,73.0,14,46.7,2425
FRA-Ligue 1,Monaco,Radosław Majecki,POL,25-184,15,1350,1.47,43,69.2,3,20.0,2425
ITA-Serie A,Udinese,Razvan Sava,ROU,22-332,12,1080,1.33,37,74.5,4,33.3,2425
ENG-Premier League,Chelsea,Robert Sánchez,ESP,27-182,31,2790,1.1,90,76.0,9,29.0,2425
ENG-Premier League,Aston Villa,Robin Olsen,SWE,35-131,3,180,2.0,5,55.6,1,100.0,2425
