League,Team,Player,Nation,Age,MatchesPlayed,MinutesPlayed,TklW,Blocks,Cmp%,LongCmp%,xAG,keyPasses,FinalThirdPasses,PrgP
ENG-Premier League,Arsenal,Declan Rice,ENG,26-125,34,2735,25,25,83.3,48.7,6.5,56.0,128.0,183.0
ENG-Premier League,Arsenal,Jorginho,ITA,33-150,15,704,4,3,86.7,58.3,0.4,3.0,44.0,48.0
ENG-Premier League,Arsenal,Martin Ødegaard,NOR,26-153,29,2309,11,5,82.6,54.2,5.4,63.0,130.0,255.0
ENG-Premier League,Aston Villa,Amadou Onana,BEL,23-276,25,1555,28,15,87.9,70.5,0.6,9.0,66.0,72.0
ENG-Premier League,Aston Villa,Boubacar Kamara,FRA,25-177,25,1643,21,18,88.7,53.3,0.9,11.0,89.0,84.0
ENG-Premier League,Aston Villa,Marco Asensio,ESP,29-118,12,699,5,7,77.7,35.5,1.0,15.0,19.0,43.0
ENG-Premier League,Aston Villa,Marco Asensio,ESP,29-118,12,699,5,7,86.9,73.1,2.7,16.0,31.0,36.0
ENG-Premier League,Aston Villa,Marco Asensio,ESP,29-118,12,618,5,7,77.7,35.5,1.0,15.0,19.0,43.0
ENG-Premier League,Aston Villa,Marco Asensio,ESP,29-118,12,618,5,7,86.9,73.1,2.7,16.0,31.0,36.0
ENG-Premier League,Aston Villa,Ross Barkley,ENG,31-165,19,574,3,9,86.0,68.4,0.6,9.0,30.0,33.0
ENG-Premier League,Aston Villa,Youri Tielemans,BEL,28-012,35,2997,57,37,82.1,54.1,6.9,59.0,228.0,234.0
ENG-Premier League,Bournemouth,Alex Scott,ENG,21-271,19,754,14,17,83.6,57.1,0.9,12.0,41.0,52.0
ENG-Premier League,Bournemouth,Philip Billing,DEN,28-342,10,184,5,3,68.6,26.7,1.1,9.0,9.0,15.0
ENG-Premier League,Bournemouth,Philip Billing,DEN,28-342,10,184,5,3,77.7,100.0,0.1,3.0,6.0,5.0
ENG-Premier League,Bournemouth,Philip Billing,DEN,28-342,9,191,5,3,68.6,26.7,1.1,9.0,9.0,15.0
ENG-Premier League,Bournemouth,Philip Billing,DEN,28-342,9,191,5,3,77.7,100.0,0.1,3.0,6.0,5.0
ENG-Premier League,Bournemouth,Ryan Christie,SCO,30-086,29,2117,33,44,79.3,48.8,3.5,41.0,118.0,137.0
ENG-Premier League,Bournemouth,Tyler Adams,USA,26-094,26,1785,48,33,84.0,55.2,1.0,17.0,63.0,69.0
ENG-Premier League,Brentford,Christian Nørgaard,DEN,31-070,33,2729,46,52,81.1,58.6,1.0,17.0,134.0,146.0
ENG-Premier League,Brentford,Frank Onyeka,NGA,27-138,2,25,0,0,83.6,66.3,1.3,17.0,70.0,106.0
ENG-Premier League,Brentford,Frank Onyeka,NGA,27-138,31,2586,0,0,83.6,66.3,1.3,17.0,70.0,106.0
ENG-Premier League,Brentford,Mathias Jensen,DEN,29-138,23,851,10,13,74.9,53.5,1.7,16.0,41.0,60.0
ENG-Premier League,Brentford,Vitaly Janelt,GER,27-009,32,2254,22,33,82.5,55.9,2.2,14.0,78.0,80.0
ENG-Premier League,Brentford,Yehor Yarmoliuk,UKR,21-079,30,1360,26,25,86.4,83.1,0.9,9.0,64.0,58.0
ENG-Premier League,Brighton,Billy Gilmour,SCO,23-342,2,98,3,1,86.6,57.1,0.0,0.0,12.0,11.0
ENG-Premier League,Brighton,Billy Gilmour,SCO,23-342,2,98,3,1,88.0,70.5,1.6,19.0,60.0,65.0
ENG-Premier League,Brighton,Billy Gilmour,SCO,23-342,25,1087,3,1,86.6,57.1,0.0,0.0,12.0,11.0
ENG-Premier League,Brighton,Billy Gilmour,SCO,23-342,25,1087,3,1,88.0,70.5,1.6,19.0,60.0,65.0
ENG-Premier League,Brighton,Carlos Baleba,CMR,21-136,32,2481,42,44,87.3,63.2,1.3,20.0,105.0,114.0
ENG-Premier League,Brighton,Diego Gómez,PAR,22-053,14,453,10,12,79.5,52.2,0.5,5.0,13.0,22.0
ENG-Premier League,Brighton,James Milner,ENG,39-135,3,169,2,4,75.3,40.0,0.2,4.0,3.0,10.0
ENG-Premier League,Brighton,Matt O'Riley,DEN,24-179,19,905,9,7,76.4,46.8,1.7,19.0,30.0,36.0
ENG-Premier League,Brighton,Yasin Ayari,SWE,21-225,32,1848,31,23,81.4,39.1,2.2,28.0,55.0,72.0
ENG-Premier League,Chelsea,Cole Palmer,ENG,23-013,36,3101,18,16,77.2,60.0,10.5,85.0,161.0,212.0
ENG-Premier League,Chelsea,Enzo Fernández,ARG,24-122,35,2857,33,42,80.1,58.0,6.7,76.0,166.0,211.0
ENG-Premier League,Chelsea,Mathis Amougou,FRA,19-121,1,8,0,0,77.1,56.0,0.4,7.0,23.0,36.0
ENG-Premier League,Chelsea,Mathis Amougou,FRA,19-121,17,859,0,0,77.1,56.0,0.4,7.0,23.0,36.0
ENG-Premier League,Chelsea,Roméo Lavia,BEL,21-133,15,768,13,6,91.8,84.0,0.7,7.0,49.0,31.0
ENG-Premier League,Crystal Palace,Adam Wharton,ENG,20-351,20,1318,14,11,75.6,65.4,3.0,26.0,78.0,107.0
ENG-Premier League,Crystal Palace,Cheick Doucouré,MLI,25-131,13,452,8,4,85.3,80.0,0.0,1.0,17.0,19.0
ENG-Premier League,Crystal Palace,Daichi Kamada,JPN,28-287,32,1454,28,22,80.0,59.3,1.9,20.0,45.0,83.0
ENG-Premier League,Crystal Palace,Ismaila Sarr,SEN,27-083,36,2559,10,25,66.4,46.8,7.8,42.0,28.0,81.0
ENG-Premier League,Crystal Palace,Justin Devenny,NIR,21-220,21,433,9,3,71.8,40.9,0.4,6.0,15.0,17.0
ENG-Premier League,Crystal Palace,Romain Esse,ENG,20-006,5,47,2,1,81.8,33.3,0.1,1.0,1.0,3.0
ENG-Premier League,Crystal Palace,Will Hughes,ENG,30-032,31,1985,33,31,76.1,36.5,3.1,32.0,72.0,85.0
ENG-Premier League,Everton,Abdoulaye Doucouré,MLI,32-138,32,2549,28,31,80.2,73.3,2.4,28.0,44.0,82.0
ENG-Premier League,Everton,Harrison Armstrong,ENG,18-120,3,48,0,0,46.7,50.0,0.1,1.0,1.0,1.0
ENG-Premier League,Everton,Idrissa Gana Gueye,SEN,35-235,36,2973,80,48,86.6,71.9,1.7,19.0,148.0,142.0
ENG-Premier League,Everton,Orel Mangala,BEL,27-062,19,1261,8,8,89.2,76.7,0.6,8.0,50.0,34.0
ENG-Premier League,Everton,Orel Mangala,BEL,27-062,19,1261,8,8,90.6,100.0,0.0,1.0,5.0,7.0
ENG-Premier League,Everton,Orel Mangala,BEL,27-062,1,67,8,8,89.2,76.7,0.6,8.0,50.0,34.0
ENG-Premier League,Everton,Orel Mangala,BEL,27-062,1,67,8,8,90.6,100.0,0.0,1.0,5.0,7.0
ENG-Premier League,Everton,Tim Iroegbunam,ENG,21-323,18,574,14,18,72.8,70.0,0.2,3.0,10.0,15.0
ENG-Premier League,Fulham,Andreas Pereira,BRA,29-138,32,1953,13,16,69.0,40.5,4.5,56.0,65.0,103.0
ENG-Premier League,Fulham,Emile Smith Rowe,ENG,24-295,33,2013,18,22,90.0,71.4,1.4,22.0,78.0,122.0
ENG-Premier League,Fulham,Harrison Reed,ENG,30-112,12,108,3,1,70.9,40.0,0.1,1.0,1.0,4.0
ENG-Premier League,Fulham,Joshua King,ENG,18-136,7,113,4,2,86.2,66.7,0.4,3.0,4.0,7.0
ENG-Premier League,Fulham,Joshua King,ENG,18-136,7,113,4,2,70.7,37.5,2.0,17.0,13.0,29.0
ENG-Premier League,Fulham,Joshua King,ENG,18-136,28,1673,4,2,86.2,66.7,0.4,3.0,4.0,7.0
ENG-Premier League,Fulham,Joshua King,ENG,18-136,28,1673,4,2,70.7,37.5,2.0,17.0,13.0,29.0
ENG-Premier League,Fulham,Sander Berge,NOR,27-094,30,2219,30,27,91.6,84.2,0.6,18.0,115.0,120.0
ENG-Premier League,Fulham,Saša Lukić,SRB,28-279,29,2259,38,20,87.1,68.1,2.7,26.0,101.0,94.0
ENG-Premier League,Fulham,Tom Cairney,SCO,34-119,24,555,5,6,91.0,76.1,1.0,10.0,50.0,51.0
ENG-Premier League,Ipswich Town,Jack Taylor,IRL,26-330,31,847,10,11,83.3,60.9,0.5,5.0,30.0,43.0
ENG-Premier League,Ipswich Town,Jens Cajuste,SWE,25-282,29,1882,20,24,82.5,51.7,0.8,12.0,49.0,54.0
ENG-Premier League,Ipswich Town,Kalvin Phillips,ENG,29-168,19,1237,19,35,79.1,61.2,0.2,5.0,49.0,51.0
ENG-Premier League,Ipswich Town,Marcus Harness,ENG,29-084,2,45,0,2,62.5,0.0,0.0,0.0,0.0,2.0
ENG-Premier League,Ipswich Town,Massimo Luongo,AUS,32-236,10,198,6,4,75.0,37.5,0.0,0.0,1.0,5.0
ENG-Premier League,Ipswich Town,Sam Morsy,EGY,33-251,32,2664,39,33,86.3,57.5,1.2,24.0,140.0,113.0
ENG-Premier League,Leicester City,Boubakary Soumaré,FRA,26-081,30,2081,20,22,86.9,69.5,0.4,11.0,94.0,103.0
ENG-Premier League,Leicester City,Harry Winks,ENG,29-106,22,1538,11,19,87.1,57.9,1.2,17.0,110.0,101.0
ENG-Premier League,Leicester City,Oliver Skipp,ENG,24-245,23,1058,4,19,84.9,58.8,0.3,9.0,30.0,34.0
ENG-Premier League,Leicester City,Wilfred Ndidi,NGA,28-154,28,2324,51,47,80.3,53.4,1.9,17.0,68.0,70.0
ENG-Premier League,Liverpool,Alexis Mac Allister,ARG,26-146,35,2599,58,61,83.5,55.6,4.7,45.0,122.0,177.0
ENG-Premier League,Liverpool,Dominik Szoboszlai,HUN,24-206,34,2369,20,37,84.5,71.7,7.2,53.0,83.0,121.0
ENG-Premier League,Liverpool,Ryan Gravenberch,NED,23-003,35,3003,35,35,88.8,61.2,2.9,25.0,141.0,171.0
ENG-Premier League,Liverpool,Wataru Endo,JPN,32-099,18,237,8,7,93.1,100.0,0.1,2.0,14.0,14.0
ENG-Premier League,Manchester City,Mateo Kovačić,CRO,31-013,30,2132,38,20,92.4,64.4,3.6,31.0,198.0,156.0
ENG-Premier League,Manchester City,Nicolás González,ESP,23-136,9,648,6,9,92.9,71.4,0.1,1.0,48.0,46.0
ENG-Premier League,Manchester City,Nicolás González,ESP,23-136,9,648,6,9,75.9,56.0,1.1,19.0,27.0,66.0
ENG-Premier League,Manchester City,Nicolás González,ESP,23-136,25,1670,6,9,92.9,71.4,0.1,1.0,48.0,46.0
ENG-Premier League,Manchester City,Nicolás González,ESP,23-136,25,1670,6,9,75.9,56.0,1.1,19.0,27.0,66.0
ENG-Premier League,Manchester City,Rodri,ESP,28-331,2,65,1,1,93.4,100.0,0.0,1.0,3.0,4.0
ENG-Premier League,Manchester City,Rodri,ESP,28-331,2,65,1,1,84.8,63.6,0.1,2.0,4.0,8.0
ENG-Premier League,Manchester City,Rodri,ESP,28-331,3,118,1,1,93.4,100.0,0.0,1.0,3.0,4.0
ENG-Premier League,Manchester City,Rodri,ESP,28-331,3,118,1,1,84.8,63.6,0.1,2.0,4.0,8.0
ENG-Premier League,Manchester City,İlkay Gündoğan,GER,34-207,31,2050,13,14,89.3,62.9,2.8,37.0,97.0,115.0
ENG-Premier League,Manchester Utd,Bruno Fernandes,POR,30-253,35,2928,47,35,75.6,54.5,8.1,88.0,197.0,302.0
ENG-Premier League,Manchester Utd,Casemiro,BRA,33-085,23,1404,48,37,78.6,57.8,2.3,20.0,72.0,74.0
ENG-Premier League,Manchester Utd,Christian Eriksen,DEN,33-094,22,1036,9,14,79.0,47.6,3.1,28.0,54.0,55.0
ENG-Premier League,Manchester Utd,Kobbie Mainoo,ENG,20-030,24,1606,28,16,86.3,70.5,1.6,14.0,49.0,64.0
ENG-Premier League,Manchester Utd,Manuel Ugarte Ribeiro,URU,24-038,29,1785,49,33,87.9,74.7,1.1,10.0,59.0,61.0
ENG-Premier League,Manchester Utd,Mason Mount,ENG,26-129,16,557,5,11,80.8,64.3,0.5,7.0,17.0,29.0
